HI,Drise,Dfall,storm_name,peak tau,peak constituent,rise,fall,A,B,C,Drise_point,Dfall_point,norm_df,storm,constituent
0.09451321810610412,0.08771202506047347,0.006801193045630655,down_event1,1.0,0.6477272726389462,"                        tau_n        cn
Date_Time                              
2023-04-17 12:30:00  0.881975  0.237500
2023-04-17 16:30:00  0.978065  1.000000
2023-04-17 20:30:00  1.000000  0.647727","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  0.386364
2023-04-18 04:30:00  0.976137  0.410227
2023-04-18 08:30:00  0.966078  0.185065",0.46266233758690967,-0.03392174427891814,-0.4406902986819703,"(np.float64(0.8819752580079198), np.float64(0.23749999996761365))","(np.float64(0.9876566389112582), np.float64(0.3863636363086777))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-17 12:30:00     99.865882    5.500000  0.881975  0.237500
2023-04-17 16:30:00    110.746094   23.157895  0.978065  1.000000
2023-04-17 20:30:00    113.229799   15.000000  1.000000  0.647727
2023-04-18 00:30:00    111.832163    8.947368  0.987657  0.386364
2023-04-18 04:30:00    110.527790    9.500000  0.976137  0.410227
2023-04-18 08:30:00    109.388847    4.285714  0.966078  0.185065",down_event1,SSC (mg/L)
-0.11116659276484638,-0.08106331805336958,-0.03010327471147679,down_event1,1.0,0.9394570304655683,"                        tau_n        cn
Date_Time                              
2023-04-17 12:30:00  0.881975  0.412186
2023-04-17 16:30:00  0.978065  0.602844
2023-04-17 20:30:00  1.000000  0.939457","                        tau_n        cn
Date_Time                              
2023-04-18 00:30:00  0.987657  1.000000
2023-04-18 04:30:00  0.976137  0.939911
2023-04-18 08:30:00  0.966078  0.832737",0.10671991091999711,-0.03392174427891814,-0.07485188977151225,"(np.float64(0.9780649156568231), np.float64(0.6028443126286408))","(np.float64(0.9876566389112582), np.float64(1.0))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-17 12:30:00     99.865882       5.282490  0.881975  0.412186
2023-04-17 16:30:00    110.746094       7.725936  0.978065  0.602844
2023-04-17 20:30:00    113.229799      12.039899  1.000000  0.939457
2023-04-18 00:30:00    111.832163      12.815806  0.987657  1.000000
2023-04-18 04:30:00    110.527790      12.045712  0.976137  0.939911
2023-04-18 08:30:00    109.388847      10.672197  0.966078  0.832737",down_event1,Turbidity FNU
0.00908945584901127,-0.0033760512516220827,0.012465507100633353,down_event10,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-04-30 13:00:00  0.973636  0.223214
2023-04-30 18:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-04-30 23:00:00  0.990066  0.414747
2023-05-01 04:00:00  0.976643  0.158730
2023-05-01 09:00:00  0.963990  0.059524",0.9404761904761905,-0.03600952512244682,-0.9044666653537436,"(np.float64(0.973636480536501), np.float64(0.22321428571428573))","(np.float64(0.9900661003357999), np.float64(0.4147465438095238))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-04-30 13:00:00    116.099521    9.375000  0.973636  0.223214
2023-04-30 18:00:00    119.243191   42.000000  1.000000  1.000000
2023-04-30 23:00:00    118.058642   17.419355  0.990066  0.414747
2023-05-01 04:00:00    116.458036    6.666667  0.976643  0.158730
2023-05-01 09:00:00    114.949301    2.500000  0.963990  0.059524",down_event10,SSC (mg/L)
0.006926660958289187,-0.012817563015383492,0.01974422397367268,down_event10,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-04-30 13:00:00  0.973636  0.190615
2023-04-30 18:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-04-30 23:00:00  0.990066  0.386680
2023-05-01 04:00:00  0.976643  0.282394
2023-05-01 09:00:00  0.963990  0.256417",0.7435831609885424,-0.03600952512244682,-0.7075736358660956,"(np.float64(0.973636480536501), np.float64(0.19061519499307927))","(np.float64(0.9900661003357999), np.float64(0.38668010314310663))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-04-30 13:00:00    116.099521       8.359760  0.973636  0.190615
2023-04-30 18:00:00    119.243191      43.856736  1.000000  1.000000
2023-04-30 23:00:00    118.058642      16.958527  0.990066  0.386680
2023-05-01 04:00:00    116.458036      12.384886  0.976643  0.282394
2023-05-01 09:00:00    114.949301      11.245606  0.963990  0.256417",down_event10,Turbidity FNU
-0.017278096303121774,-1.6265992924389706e-16,-0.01727809630312161,down_event12,1.0,1.0,"                     tau_n   cn
Date_Time                      
2023-05-02 17:00:00    1.0  1.0","                        tau_n        cn
Date_Time                              
2023-05-03 00:00:00  0.981357  0.518519
2023-05-03 07:00:00  0.998065  0.317460",0.6825396825555556,-0.0019346507317582473,-0.6806050318237973,"(np.float64(1.0), np.float64(1.0))","(np.float64(0.9813570806711098), np.float64(0.5185185185000001))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-02 17:00:00    121.625726   18.000000  1.000000  1.000000
2023-05-03 00:00:00    119.358267    9.333333  0.981357  0.518519
2023-05-03 07:00:00    121.390423    5.714286  0.998065  0.317460",down_event12,SSC (mg/L)
-0.017840844977417322,-0.0,-0.017840844977417322,down_event12,1.0,1.0,"                     tau_n   cn
Date_Time                      
2023-05-02 17:00:00    1.0  1.0","                        tau_n        cn
Date_Time                              
2023-05-03 00:00:00  0.981357  0.888208
2023-05-03 07:00:00  0.998065  0.730196",0.2698040274470406,-0.0019346507317582473,-0.2678693767152823,"(np.float64(1.0), np.float64(1.0))","(np.float64(0.9813570806711098), np.float64(0.8882076546148979))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-05-02 17:00:00    121.625726      11.007817  1.000000  1.000000
2023-05-03 00:00:00    119.358267       9.777227  0.981357  0.888208
2023-05-03 07:00:00    121.390423       8.037864  0.998065  0.730196",down_event12,Turbidity FNU
0.020373962034653727,0.012046196031845853,0.008327766002807874,down_event13,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-05-03 14:00:00  0.931368  0.138249
2023-05-03 20:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-05-04 02:00:00  0.980425  0.574597
2023-05-04 08:00:00  0.943440  0.138249",0.8617511521029434,-0.056560327378200825,-0.8051908247247426,"(np.float64(0.9313675578998093), np.float64(0.13824884789705663))","(np.float64(0.9804246935973474), np.float64(0.5745967741008714))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-03 14:00:00    119.179629    2.857143  0.931368  0.138249
2023-05-03 20:00:00    127.961972   20.666667  1.000000  1.000000
2023-05-04 02:00:00    125.457077   11.875000  0.980425  0.574597
2023-05-04 08:00:00    120.724401    2.857143  0.943440  0.138249",down_event13,SSC (mg/L)
0.04463406181834452,-0.003118824943604081,0.0477528867619486,down_event13,1.0,1.0,"                        tau_n        cn
Date_Time                              
2023-05-03 14:00:00  0.931368  0.505127
2023-05-03 20:00:00  1.000000  1.000000","                        tau_n        cn
Date_Time                              
2023-05-03 23:00:00  0.996929  0.714593
2023-05-04 02:00:00  0.980425  0.532399
2023-05-04 05:00:00  0.956376  0.426876
2023-05-04 08:00:00  0.943440  0.453701
2023-05-04 11:00:00  0.919019  0.441723",0.5582771537076356,-0.08098098738655335,-0.4772961663210823,"(np.float64(0.9313675578998093), np.float64(0.5051268570019306))","(np.float64(0.9804246935973474), np.float64(0.532398863943279))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-05-03 14:00:00    119.179629      10.118039  0.931368  0.505127
2023-05-03 20:00:00    127.961972      20.030690  1.000000  1.000000
2023-05-03 23:00:00    127.569043      14.313794  0.996929  0.714593
2023-05-04 02:00:00    125.457077      10.664317  0.980425  0.532399
2023-05-04 05:00:00    122.379753       8.550612  0.956376  0.426876
2023-05-04 08:00:00    120.724401       9.087949  0.943440  0.453701
2023-05-04 11:00:00    117.599485       8.848013  0.919019  0.441723",down_event13,Turbidity FNU
-0.025011829273478555,-0.0,-0.025011829273478555,down_event14,1.0,0.5000000000535715,"                     tau_n   cn
Date_Time                      
2023-05-04 02:00:00    1.0  0.5","                        tau_n        cn
Date_Time                              
2023-05-04 17:00:00  0.985061  0.937500
2023-05-04 23:00:00  0.995442  1.000000
2023-05-05 02:00:00  0.984287  0.765306",-0.2653061224380465,-0.01571321006238624,0.2731627274700814,"(np.float64(1.0), np.float64(0.5000000000535715))","(np.float64(0.9954423017414369), np.float64(1.0))","                     shear_stress  SSC (mg/L)     tau_n        cn
Date_Time                                                        
2023-05-04 02:00:00    125.457077    4.666667  1.000000  0.500000
2023-05-04 17:00:00    123.582933    8.750000  0.985061  0.937500
2023-05-04 23:00:00    124.885281    9.333333  0.995442  1.000000
2023-05-05 02:00:00    123.485743    7.142857  0.984287  0.765306",down_event14,SSC (mg/L)
-0.04923263201153167,-1.9325745883621157e-16,-0.049232632011531476,down_event14,1.0,0.6988887449408393,"                     tau_n        cn
Date_Time                           
2023-05-04 02:00:00    1.0  0.698889","                        tau_n        cn
Date_Time                              
2023-05-04 11:00:00  0.937368  0.579857
2023-05-04 17:00:00  0.985061  1.000000
2023-05-04 23:00:00  0.995442  0.653067
2023-05-05 02:00:00  0.984287  0.556131",0.14275751933284608,-0.01571321006238624,-0.13177573367335316,"(np.float64(1.0), np.float64(0.6988887449408393))","(np.float64(0.9373682839845734), np.float64(0.5798568452427348))","                     shear_stress  Turbidity FNU     tau_n        cn
Date_Time                                                           
2023-05-04 02:00:00    125.457077      10.664317  1.000000  0.698889
2023-05-04 11:00:00    117.599485       8.848013  0.937368  0.579857
2023-05-04 17:00:00    123.582933      15.258962  0.985061  1.000000
2023-05-04 23:00:00    124.885281       9.965131  0.995442  0.653067
2023-05-05 02:00:00    123.485743       8.485985  0.984287  0.556131",down_event14,Turbidity FNU
