Lab ID,Date_Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L)
85,8/5/2022 11:15:17,7.233,94.93,46.45476773,3.034,5.515497697
86,8/5/2022 11:15:20,7.233,75.03,42.01680672,3.054,
87,8/5/2022 11:15:23,7.933,81.28,43.24324324,2.473,3.927531906
88,8/5/2022 11:15:26,9.392,293.19,144.4897959,2.616,
89,8/5/2022 11:15:29,9.392,311.7,240.0197954,3.135,15.1227098
90,8/5/2022 11:15:32,9.392,243.92,191.1920909,2.936,
91,8/5/2022 11:15:35,9.392,292.16,164.1084259,2.933,17.19657069
92,8/5/2022 11:15:38,9.042,260.11,119.1975153,2.634,9.506040178
93,8/5/2022 11:15:44,8.458,194.51,96.29877742,2.97,6.367516671
94,8/5/2022 11:15:47,8.283,189.68,96.84210526,2.497,
